"id","title","address","price","zone","lat","lng","createdAt","notes","createdBy","userId","iconColor","status","link"
"cmf2db0900003jq04u2i9lojp","amueblado las tablas","Isabel Colbrand, 20","1650","Las Tablas","40.510637","-3.6782331","2025-09-02 09:50:26.052",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/87524771/"
"cmf2dbssw0005jq040fagt3kc","84 m2 prospe","corazón de María, 45","1700","Prosperidad","40.4461209","-3.6670028","2025-09-02 09:51:03.056",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/108926275/"
"cmf2dcfmt0007jq0499n8bwu6","91 m2","Corazón de María, 39","1700","Prosperidad","40.4450466","-3.6672882","2025-09-02 09:51:32.645",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/108002788/"
"cmf2delrm000bjq0473eo5m72","100m2 eugenio salazar","Eugenio Salazar, 17","1750","Ciudad Jardín","40.4452765","-3.6739238","2025-09-02 09:53:13.906",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/109076137/"
"cmf2dfr8s000djq04vw73l8f2","110 m2 el viso"," Calle de Colombia, 62","1900","Hispanoamérica","40.457015","-3.6744591","2025-09-02 09:54:07.661",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/28337829/"
"cmf2dgg8f000fjq04spjahlwg","108 m2 las tablas","Viloria de La Rioja, 69","1450","Fuencarral","40.5062161","-3.6700417","2025-09-02 09:54:40.047",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/36239698/"
"cmf2dhjnd000hjq04eugob1u2","125 m2 tablas","Boadilla del Camino, 3","1800","Sanchinarro","40.5042792","-3.6670638","2025-09-02 09:55:31.129",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/109153834/"
"cmf2dit30000ljq04po4aqaah","117 m2 las tablas","Camino de Santiago, 45","1900","Fuencarral","40.5079175","-3.6711813","2025-09-02 09:56:30.012",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/93927100/"
"cmf2dpvb00001l104pbp3jh2f","enorme las tablas 167m2","Calle Boadilla del camino 3","1800","Fuencarral","40.5042792","-3.6670638","2025-09-02 10:01:59.485",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/108948800/"
"cmf2drqef0003l104a2cmg3li","160 las tablas","Calle Obanos 24","1900","Fuencarral","40.4981841","-3.675528","2025-09-02 10:03:26.439",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/108749165/"
"cmf2gbw3v0001ju04dppv3d5o","96m2 clara del rey zona","calle de Clara del rey 43","1800","Prosperidad","40.4431343","-3.6693706","2025-09-02 11:15:06.187",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/108949305/"
"cmf2n3qtv0001l904vdx37vcm","80 m2 costa rica","Plaza de la Ciudad de Salta, 4","1800","Ciudad Lineal","40.4544139","-3.662476","2025-09-02 14:24:43.411","RAFA +34685138841","Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/109165038"
"cmf2s9ik60001ld04kcp1o107","125 m2 principe pio","Paseo de la florida 10","1750","Casa de Campo","40.4227532","-3.7224958","2025-09-02 16:49:10.618",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/109168050"
"cmf2sbnoq0003ld04obaqpv73","110m2 cuatro caminos","Calle de Santa Engracia, 154","1800","Chamberí","40.4454824","-3.7030895","2025-09-02 16:50:50.574"," 650 56 16 86
 659 98 25 61
Referencia del anuncio
109166990

Ana","Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/109166990"
"cmf3mxw1q0001la04lcnjwt5f","105 m2 colombia metro","Calle de Chile, 23","1800","Hispanoamerica","40.4592214","-3.6757243","2025-09-03 07:07:56.414",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","available","https://www.idealista.com/inmueble/109171349"
"cmf44ndeb0001kv045lt9xhek","las tablas 120m2 sin amueblar","Calle de Puerto de Somport 3","1700","Las Tablas","40.4957588","-3.6696375","2025-09-03 15:23:38.771",,"Fausto","cmfvdw7m40000u75kwzmdetum","#3B82F6","rented","https://www.idealista.com/inmueble/109168841"
